RUB	Russian Ruble	68.2986071188	0.0146415870
EUR	Euro	1.0000000000	1.0000000000
CNY	Chinese Yuan Renminbi	7.8070357865	0.1280895883
USD	US Dollar	1.1731449754	0.8524095666
DKK	Danish Krone	7.4949967664	0.1334223391
JPY	Japanese Yen	132.1140772266	0.0075692161
MAD	Moroccan Dirham	11.1169434086	0.0899527832
BGN	Bulgarian Lev	1.9603591592	0.5101106067
KGS	Kyrgyzstani Som	80.2272803965	0.0124645880
MMK	Burmese Kyat	1597.8744051759	0.0006258314
